element,id,note,operator,railway,source,layer,level,name,ref,description,fixme,video,image,note:maxspeed,railway:preserved,old_name,usage,wikidata,maxheight,wikipedia,name:ja,railway:pzb,detail,electrified,frequency,gauge,maxspeed,passenger_lines,voltage,workrules,railway:etcs,railway:lzb,railway:ballastless,railway:tilting,railway:traffic_mode,service,railway:track_ref,source:maxspeed,tunnel,bridge,railway:radio,highspeed,railway:preferred_direction,bridge:structure,railway:zbs,embankment,maxspeed:backward,maxspeed:forward,railway:ballastless:system,start_date,operator:wikidata,name:en,tracks,railway:gnt,railway:bidirectional,construction:railway:etcs,bridge:name,historic,surface,heritage,heritage:operator,lda:criteria,ref:lda,source:maxspeed:backward,source:maxspeed:forward,cutting,website,maxspeed:source,name:de,wikimedia_commons,covered,designation,abandoned:railway,disused:railway,disused:usage,railway:electricity:ref,bridge:length,railway:main_switch_off,railway:lower_pantograph_section,geometry
way,4475867,,DB Netz AG,rail,,,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,4,15000,DE:EBO,,no,,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2855002 52.4996779, 13.2862712 52.4998984, 13.2882038 52.5004464, 13.2888952 52.5006408, 13.2894199 52.5007905, 13.2895746 52.5008337, 13.2905312 52.501106, 13.2915757 52.5014017, 13.291842 52.5014755, 13.291987 52.5015169, 13.2930445 52.5018176)"
way,4475868,,DB Netz AG,rail,,1,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,4,15000,DE:EBO,,no,,,passenger,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2810253 52.4983867, 13.2813043 52.4984624, 13.2821856 52.49872)"
way,4475869,,DB Netz AG,rail,,,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,4,15000,DE:EBO,,no,,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2821856 52.49872, 13.2824298 52.4987958)"
way,4475870,,DB Netz AG,rail,,1,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,4,15000,DE:EBO,,no,,,passenger,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2824298 52.4987958, 13.282651 52.4988612)"
way,4475871,,DB Netz AG,rail,,,,,6042,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,80,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2785502 52.4957354, 13.2796422 52.4962631, 13.280482 52.4966714, 13.2807459 52.4967997, 13.2811715 52.4970288, 13.2814397 52.4972002, 13.2816114 52.4973304, 13.2817745 52.4974647, 13.2818387 52.4975251, 13.2818732 52.4975638)"
way,4475872,,DB Netz AG,rail,,1,,,6042,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,80,2,15000,DE:EBO,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2818732 52.4975638, 13.2821629 52.4978669, 13.2823155 52.4981046, 13.2824474 52.4983685)"
way,4475873,,DB Netz AG,rail,,,,,6178,,,,,,,,main,,,,,yes,,no,,1435,60,1,,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2785502 52.4957354, 13.2789705 52.4959237, 13.2794714 52.4961267, 13.2796921 52.4962199, 13.2799842 52.4963574, 13.2806094 52.4966594, 13.2808777 52.496789, 13.2812339 52.4969886, 13.2816829 52.4972464, 13.2816985 52.497255, 13.281868 52.4973486, 13.2820444 52.497441)"
way,4475874,,DB Netz AG,rail,,1,,,6178,,,,,,,,main,,,,,yes,,no,,1435,60,1,,DE:EBO,no,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2820444 52.497441, 13.2823875 52.4976038, 13.2826505 52.4977054, 13.2828735 52.4977838, 13.2830188 52.4978306)"
way,4477989,,DB Netz AG,rail,,1,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,120,2,15000,DE:EBO,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1770762 52.4196607, 13.1768359 52.4195299, 13.1765811 52.4193952)"
way,4480587,,,rail,,1,,,6062,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,40,,15000,DE:EBO,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.257592 52.4857978, 13.2573584 52.4856233)"
way,4480602,,DB Netz AG,rail,,,,,6062,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,40,,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2573584 52.4856233, 13.2571739 52.4854784, 13.2569982 52.4853323, 13.2566898 52.4850414, 13.2566258 52.4849745, 13.2564906 52.484824, 13.2563422 52.4846545, 13.2561887 52.4844785, 13.2557771 52.4840017, 13.2555806 52.4837768, 13.2553702 52.4835503, 13.2551871 52.4833552, 13.2550181 52.483139)"
way,4480603,,DB Netz AG,rail,,1,,,6118,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,120,2,15000,DE:EBO,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2377316 52.4693453, 13.2374061 52.4690856)"
way,4484157,,DB Netz AG,rail,,1,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,130,2,15000,DE:EBO,,,,,,,,,,yes,,,,beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1436491 52.3996472, 13.1432863 52.3993391)"
way,4490196,,DB Netz AG,rail,,,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,4,15000,DE:EBO,,no,,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.282651 52.4988612, 13.2837358 52.4991768, 13.2840372 52.4992636, 13.28477 52.4994724)"
way,4490197,,DB Netz AG,rail,,1,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,4,15000,DE:EBO,,no,,,passenger,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.28477 52.4994724, 13.2855002 52.4996779)"
way,4490200,,DB Netz AG,rail,,,0,,6170,,,,,,,,main,,,,,yes,track,no,,1435,100,2,,DE:EBO,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2835251 52.5009544, 13.2834779 52.501013, 13.2829978 52.5016083, 13.2828316 52.5018387, 13.2826753 52.5020954, 13.2825866 52.5022674, 13.2825006 52.5024546)"
way,4490201,,DB Netz AG,rail,,1,0,,6170,,,,,,,,main,,,,,yes,track,no,,1435,100,2,,DE:EBO,no,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2839302 52.5004719, 13.2835251 52.5009544)"
way,4490213,,DB Netz AG,rail,,,,,6118,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,,15000,DE:EBO,,no,,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2752162 52.4976985, 13.2741407 52.4974255, 13.2736025 52.4972908, 13.2729963 52.4971178)"
way,4490393,,DB Netz AG,rail,,,,,6042,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,80,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2824474 52.4983685, 13.282501 52.4985044, 13.2825571 52.4987153, 13.282583 52.4988491, 13.2825979 52.4989601, 13.2826113 52.4990725, 13.282633 52.4993604, 13.2826323 52.4995805, 13.2826176 52.4997227, 13.2826002 52.4999133, 13.2825956 52.4999545)"
way,4490394,,DB Netz AG,rail,,1,,,6042,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,80,2,15000,DE:EBO,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2825956 52.4999545, 13.282503 52.5006772)"
way,4495782,,DB Netz AG,rail,,,,,6109,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,140,2,15000,DE:EBO,,no,no,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.2454676 52.5250945, 13.2451487 52.5252934, 13.2447213 52.5255513, 13.2443547 52.5257674, 13.2439804 52.5259732, 13.2435637 52.5261851, 13.2433416 52.5262981, 13.2428538 52.5265153, 13.2425471 52.5266429, 13.2422314 52.5267658, 13.2420351 52.5268388, 13.2417226 52.5269555, 13.2413987 52.5270649, 13.2405903 52.5273258, 13.2393598 52.5276978, 13.2383815 52.5279891, 13.2376309 52.5281932, 13.2368994 52.5283688, 13.2367645 52.5284005, 13.236094 52.5285424, 13.2355562 52.5286378, 13.234976 52.5287351, 13.234076 52.5288551, 13.2340081 52.5288641, 13.2330407 52.5289736)"
