element,id,operator,railway,railway:local_operated,railway:switch,railway:switch:electric,railway:switch:heated,railway:switch:movable_frog,railway:switch:resetting,railway:turnout_side,ref,source,railway:switch:configuration,description,video,railway:maxspeed:diverging,railway:maxspeed:straight,railway:switch_ref,image,source:ref,fixme,railway:radius,railway:electricity,control,railway:local_operated:home_position,usage,railway:electricity:jumpering,disused,note,level,layer,crossing,tactile_paving,wheelchair,source:description,razed:railway,name,abandoned,railway:track_ref,geometry
node,29707230,DB InfraGO AG,switch,no,outer_curved,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3438311 52.5357827)
node,29786327,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3446601 52.5014121)
node,29794223,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4564448 52.5279813)
node,29804039,,switch,,default,,,,,left,9,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4805801 52.5060246)
node,29804047,,switch,no,default,yes,,no,no,right,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4845252 52.4997749)
node,29804051,,switch,no,double_slip,yes,,no,no,,605,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4862019 52.4979187)
node,29804054,,switch,,default,,,,,left,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4887503 52.4962687)
node,29804090,DB Netz AG,switch,no,default,yes,yes,no,no,left,1,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4788041 52.5069348)
node,29804091,DB Netz AG,switch,no,default,yes,yes,no,no,right,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.480715 52.5061572)
node,29804096,DB Netz AG,switch,no,default,yes,yes,no,no,left,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4886765 52.5063069)
node,29805100,DB Netz AG,switch,no,inner_curved,yes,yes,no,no,left,11W01,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,POINT (13.374848 52.5243826)
node,29805117,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3843056 52.5209058)
node,29805124,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3905358 52.5200495)
node,29805964,,switch,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4994166 52.5117737)
node,29805970,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5009978 52.5123204)
node,29805973,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4942191 52.5082143)
node,29807224,DB Netz AG,switch,no,outer_curved,yes,yes,no,no,right,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5102841 52.5144439)
node,29807227,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.517147 52.5144328)
node,29807235,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5190913 52.5142943)
node,29808188,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5318756 52.5143138)
node,29808269,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.531432 52.5140548)
node,29808602,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5169112 52.5023055)
node,29808613,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5170377 52.5018126)
node,29808626,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5177195 52.5011933)
node,29808683,DB Netz AG,switch,no,default,yes,yes,no,no,right,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4960407 52.4940579)
node,29808765,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4984185 52.491911)
node,29808766,,switch,,default,,,,,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4992858 52.4916499)
node,29808767,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5007854 52.4907442)
node,29808775,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5067832 52.489184)
node,29857249,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5381213 52.5084159)
node,29857961,DB Netz AG,switch,no,default,yes,yes,no,no,right,74,Bing;www.trassenfinder.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5374517 52.5241349)
node,29857962,,switch,,,,,,,,89,Bing;www.trassenfinder.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5357028 52.5289063)
node,29857963,,switch,,,,,,,,77,Bing;www.trassenfinder.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5370745 52.5245038)
node,29857997,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5323643 52.5377822)
node,29858168,,switch,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5308546 52.5385006)
node,29858171,,switch,,,,,,,,219,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,POINT (13.5288692 52.5418368)
node,29858173,,switch,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5283423 52.5422522)
node,29858594,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5675387 52.5740789)
node,29877553,DB InfraGO AG,switch,no,inner_curved,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5424504 52.5152802)
node,29918634,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5535441 52.4721964)
node,29918640,,switch,,default,,,,,left,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5523883 52.4690597)
node,29919685,,switch,,default,,,,,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5511577 52.4640142)
node,29919708,,switch,,default,,,,,right,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5679385 52.4622994)
node,29919730,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5685224 52.4620578)
node,29919757,,switch,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5845749 52.4583135)
node,29921517,,switch,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5587497 52.4439126)
node,29921539,,switch,,default,,,,,left,650IAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5209263 52.449546)
node,29921549,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5138725 52.452278)
node,29927720,,switch,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3266424 52.5338214)
node,29927726,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3413357 52.5354156)
node,29927727,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3388336 52.5350622)
node,29927728,,switch,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3372916 52.5347899)
node,29941572,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3317096 52.5348631)
node,29941573,,switch,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3366756 52.5354736)
node,29941576,,switch,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3425682 52.5363734)
node,29941577,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3445555 52.5366186)
node,29941579,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.347142 52.5368119)
node,29941586,,switch,no,default,yes,yes,no,no,left,85W480,bing,,ferngestellte Weiche,,,,,"https://commons.wikimedia.org/wiki/File:L01_386_Berlin,_Strecken_6107,_6017.jpg",image,,,,,,,,,,,,,,,,,,,,POINT (13.3560321 52.5371382)
node,29941591,DB Netz AG,switch,,default,,,no,,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3588492 52.5364748)
node,29949482,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2855144 52.5012106)
node,29949484,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.287879 52.5018708)
node,30206140,DB Netz AG,switch,,,,,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3931496 52.5494395)
node,30206146,DB Netz AG,switch,no,default,yes,yes,no,no,left,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3908896 52.5492343)
node,30206351,DB Netz AG,switch,,,,,,,,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3938388 52.5494665)
node,30206369,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3978419 52.5538898)
node,30206492,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.398114 52.5538643)
node,30206493,DB Netz AG,switch,no,outer_curved,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3985403 52.5526936)
node,30206514,DB Netz AG,switch,no,outer_curved,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3982942 52.5538582)
node,30206561,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4042489 52.5495775)
node,30206652,DB Netz AG,switch,,,,,,,,14,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.398624 52.5536773)
node,30206653,DB Netz AG,switch,no,default,yes,,,,right,41W145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3945881 52.5485933)
node,30206706,DB Netz AG,switch,no,inner_curved,yes,yes,no,no,left,41W211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3988841 52.5511115)
node,30206733,DB Netz AG,switch,no,default,yes,yes,no,no,left,41W141,,,,,,,,,,ref nochmal prüfen,,,,,,,,,,,,,,,,,,,POINT (13.3923078 52.5486483)
node,30206745,DB InfraGO AG,switch,no,inner_curved,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.39589 52.5491505)
node,30206781,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3836132 52.54833)
node,30206815,DB Netz AG,switch,no,inner_curved,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3951547 52.5488258)
node,30207253,DB Netz AG,switch,no,default,yes,yes,no,no,left,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3988177 52.5533421)
node,30207254,DB Netz AG,switch,no,default,yes,yes,no,no,left,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3987833 52.5534722)
node,30207255,DB Netz AG,switch,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3986191 52.5536995)
node,30207256,,switch,,default,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.398286 52.5546061)
node,30207258,DB Netz AG,switch,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3984077 52.5545331)
node,30207272,DB Netz AG,switch,no,default,yes,yes,no,no,left,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3989607 52.5531926)
node,30207274,DB Netz AG,switch,no,default,yes,yes,no,no,left,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3989199 52.5533564)
node,30207276,DB Netz AG,switch,no,default,yes,,no,no,right,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.398352 52.555599)
node,30207278,DB Netz AG,switch,no,default,yes,yes,no,no,left,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3985436 52.554451)
